YEAR	STATE	SUM	REGION
1942	DISTRICT OF COLUMBIA	1624	South
1942	FLORIDA	4081	South
1942	GEORGIA	5417	South
1942	HAWAII	0	West
1942	IDAHO	1890	West
1942	ILLINOIS	10693	Midwest
1942	INDIANA	3333	Midwest
1942	IOWA	6217	Midwest
1942	KANSAS	9423	Midwest
1942	KENTUCKY	2353	South
1942	LOUISIANA	3150	South
1942	MAINE	4537	Northeast
1942	MARYLAND	10695	South
1942	MASSACHUSETTS	24688	Northeast
1942	MICHIGAN	9343	Midwest
1942	MINNESOTA	15113	Midwest
1942	MISSISSIPPI	0	South
1942	MISSOURI	6842	Midwest
1942	MONTANA	3050	West
1942	NEBRSKA	5311	Midwest
1942	NEVADA	1114	West
1942	NEW HAMPSHIRE	806	Northeast
1942	NEW JERSEY	13842	Northeast
1942	NEW MEXICO	1586	West
1942	NEW YORK	24865	Northeast
1942	NORTH CAROLINA	20163	South
1942	NORTH DAKOTA	1599	Midwest
1942	OHIO	8857	Midwest
1942	OKLAHOMA	5781	South
1942	OREGON	5526	West
1942	PENNSYLVANIA	36915	Northeast
1942	RHODE ISLAND	4559	Northeast
1942	SOUTH CAROLINA	4381	South
1942	SOUTH DAKOTA	844	Midwest
1942	TENNESSEE	3127	South
1942	TEXAS	34717	South
1942	UTAH	14888	West
1942	VERMONT	3677	Northeast
1942	VIRGINIA	5398	South
1942	WASHINGTON	12276	West
1942	WEST VIRGINIA	5564	South
1942	WISCONSIN	23870	Midwest
1942	WYOMING	1596	West
1943	ALABAMA	3798	South
1943	ALASKA	0	West
1943	ARIZONA	1195	West
1943	ARKANSAS	2998	South
1943	CALIFORNIA	28929	West
1943	COLORADO	11266	West
1943	CONNECTICUT	9865	Northeast
1943	DELAWARE	1593	South
1943	DISTRICT OF COLUMBIA	2109	South
1943	FLORIDA	1683	South
1943	GEORGIA	4105	South
1943	HAWAII	0	West
1943	IDAHO	3256	West
1943	ILLINOIS	25494	Midwest
1943	INDIANA	9073	Midwest
1943	IOWA	5668	Midwest
1943	KANSAS	9840	Midwest
1943	KENTUCKY	10337	South
1943	LOUISIANA	2731	South
1943	MAINE	2404	Northeast
1943	MARYLAND	4112	South
1943	MASSACHUSETTS	32022	Northeast
1943	MICHIGAN	41360	Midwest
1943	MINNESOTA	10258	Midwest
1943	MISSISSIPPI	0	South
1943	MISSOURI	7267	Midwest
1943	MONTANA	5444	West
1943	NEBRSKA	4979	Midwest
1943	NEVADA	601	West
1943	NEW HAMPSHIRE	977	Northeast
1943	NEW JERSEY	39182	Northeast
1943	NEW MEXICO	567	West
1943	NEW YORK	61243	Northeast
1943	NORTH CAROLINA	6067	South
1943	NORTH DAKOTA	4362	Midwest
1943	OHIO	18987	Midwest
1943	OKLAHOMA	1677	South
1943	OREGON	8475	West
1943	PENNSYLVANIA	53185	Northeast
1943	RHODE ISLAND	2253	Northeast
1943	SOUTH CAROLINA	3025	South
1943	SOUTH DAKOTA	2979	Midwest
1943	TENNESSEE	5796	South
1943	TEXAS	16370	South
1943	UTAH	7644	West
1943	VERMONT	7600	Northeast
1943	VIRGINIA	10684	South
1943	WASHINGTON	15510	West
1943	WEST VIRGINIA	2330	South
1943	WISCONSIN	38898	Midwest
1943	WYOMING	2691	West
